Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description
50628037,Schoenen 208,<p>Een hoogwaardige schoenen van Wol in Wit kleur en maat 44.</p>,FashionBrand,Schoenen,"Wit,Wol,44,Schoenen,Heren,Zomer",TRUE,Color,Wit,Size,44,02adebcc12c2,467,shopify,114,deny,manual,70.63,70.63,TRUE,TRUE,,Koop Schoenen 208 in Wit - Perfect voor Casual,"Schoenen 208 gemaakt van Wol, ideaal voor Zomer en Casual gelegenheden."
88a2e96c,Schoenen 244,<p>Een hoogwaardige schoenen van Katoen in Rood kleur en maat 38.</p>,FashionBrand,Schoenen,"Rood,Katoen,38,Schoenen,Dames,Zomer",TRUE,Color,Rood,Size,38,4a004910aad2,735,shopify,330,deny,manual,193.95,193.95,TRUE,TRUE,,Koop Schoenen 244 in Rood - Perfect voor Sport,"Schoenen 244 gemaakt van Katoen, ideaal voor Zomer en Sport gelegenheden."
93f30f25,Shirt 295,<p>Een hoogwaardige shirt van Linnen in Blauw kleur en maat M.</p>,FashionBrand,Shirt,"Blauw,Linnen,M,Shirt,Dames,Winter",TRUE,Color,Blauw,Size,M,5bbbafdbc617,317,shopify,303,deny,manual,445.29,578.88,TRUE,TRUE,,,"Shirt 295 gemaakt van Linnen, ideaal voor Winter en Werk gelegenheden."
bffae532,Shirt 225,<p>Een hoogwaardige shirt van Wol in Rood kleur en maat XL.</p>,FashionBrand,Shirt,"Rood,Wol,XL,Shirt,Heren,Lente",TRUE,Color,Rood,Size,XL,bfbebcc3599f,1171,shopify,250,deny,manual,277.84,277.84,TRUE,TRUE,,Koop Shirt 225 in Rood - Perfect voor Sport,
29172a78,Jas 246,<p>Een hoogwaardige jas van Katoen in Rood kleur en maat XL.</p>,FashionBrand,Jas,"Rood,Katoen,XL,Jas,Unisex,Lente",TRUE,Color,Rood,Size,XL,b4933ac7a7d0,222,shopify,356,deny,manual,18.46,24.0,TRUE,TRUE,,,"Jas 246 gemaakt van Katoen, ideaal voor Lente en Sport gelegenheden."
a47d681d,Jas 197,<p>Een hoogwaardige jas van Denim in Rood kleur en maat XL.</p>,FashionBrand,Jas,"Rood,Denim,XL,Jas,Dames,Winter",TRUE,Color,Rood,Size,XL,825285c37c3d,669,shopify,161,deny,manual,193.85,193.85,TRUE,TRUE,,,"Jas 197 gemaakt van Denim, ideaal voor Winter en Sport gelegenheden."
e0d36089,Jurk 205,<p>Een hoogwaardige jurk van Leder in Groen kleur en maat L.</p>,FashionBrand,Jurk,"Groen,Leder,L,Jurk,Unisex,Lente",TRUE,Color,Groen,Size,L,4801a24ca4f4,483,shopify,249,deny,manual,41.17,41.17,TRUE,TRUE,,Koop Jurk 205 in Groen - Perfect voor Sport,
f0c1fbce,Jurk 453,<p>Een hoogwaardige jurk van Linnen in Bruin kleur en maat L.</p>,FashionBrand,Jurk,"Bruin,Linnen,L,Jurk,Unisex,Winter",TRUE,Color,Bruin,Size,L,a9127f69522c,400,shopify,221,deny,manual,279.51,279.51,TRUE,TRUE,,Koop Jurk 453 in Bruin - Perfect voor Casual,
61c4f957,Schoenen 240,<p>Een hoogwaardige schoenen van Leder in Bruin kleur en maat 41.</p>,FashionBrand,Schoenen,"Bruin,Leder,41,Schoenen,Heren,Herfst",TRUE,Color,Bruin,Size,41,03b1905cee8d,1137,shopify,467,deny,manual,148.91,148.91,TRUE,TRUE,,Koop Schoenen 240 in Bruin - Perfect voor Werk,"Schoenen 240 gemaakt van Leder, ideaal voor Herfst en Werk gelegenheden."
5e81f695,Jurk 159,<p>Een hoogwaardige jurk van Katoen in Zwart kleur en maat L.</p>,FashionBrand,Jurk,"Zwart,Katoen,L,Jurk,Dames,Winter",TRUE,Color,Zwart,Size,L,f2ef0a3f30d6,682,shopify,363,deny,manual,387.12,387.12,TRUE,TRUE,,Koop Jurk 159 in Zwart - Perfect voor Casual,
273119c3,Schoenen 483,<p>Een hoogwaardige schoenen van Wol in Wit kleur en maat 44.</p>,FashionBrand,Schoenen,"Wit,Wol,44,Schoenen,Unisex,Zomer",TRUE,Color,Wit,Size,44,3259929b04b6,758,shopify,360,deny,manual,43.87,43.87,TRUE,TRUE,,Koop Schoenen 483 in Wit - Perfect voor Sport,"Schoenen 483 gemaakt van Wol, ideaal voor Zomer en Sport gelegenheden."
b421f646,Schoenen 226,<p>Een hoogwaardige schoenen van Katoen in Wit kleur en maat 44.</p>,FashionBrand,Schoenen,"Wit,Katoen,44,Schoenen,Dames,Winter",TRUE,Color,Wit,Size,44,a5aab33ac1ab,362,shopify,259,deny,manual,315.48,410.12,TRUE,TRUE,,,"Schoenen 226 gemaakt van Katoen, ideaal voor Winter en Formeel gelegenheden."
1f24005a,Accessoire 409,<p>Een hoogwaardige accessoire van Leder in Grijs kleur en maat One Size.</p>,FashionBrand,Accessoire,"Grijs,Leder,One Size,Accessoire,Unisex,Zomer",TRUE,Color,Grijs,Size,One Size,a6471b3beffa,1005,shopify,455,deny,manual,219.34,219.34,TRUE,TRUE,,,"Accessoire 409 gemaakt van Leder, ideaal voor Zomer en Formeel gelegenheden."
9682148a,Jas 298,<p>Een hoogwaardige jas van Linnen in Beige kleur en maat L.</p>,FashionBrand,Jas,"Beige,Linnen,L,Jas,Unisex,Herfst",TRUE,Color,Beige,Size,L,922983424b28,889,shopify,215,deny,manual,397.33,397.33,TRUE,TRUE,,Koop Jas 298 in Beige - Perfect voor Werk,"Jas 298 gemaakt van Linnen, ideaal voor Herfst en Werk gelegenheden."
a4176213,Shirt 477,<p>Een hoogwaardige shirt van Leder in Groen kleur en maat L.</p>,FashionBrand,Shirt,"Groen,Leder,L,Shirt,Heren,Winter",TRUE,Color,Groen,Size,L,17d0e7814b47,884,shopify,415,deny,manual,322.13,322.13,TRUE,TRUE,,Koop Shirt 477 in Groen - Perfect voor Werk,
a61a4f88,Schoenen 13,<p>Een hoogwaardige schoenen van Denim in Rood kleur en maat 43.</p>,FashionBrand,Schoenen,"Rood,Denim,43,Schoenen,Dames,Herfst",TRUE,Color,Rood,Size,43,76a3d07c810e,790,shopify,238,deny,manual,406.01,487.21,TRUE,TRUE,,Koop Schoenen 13 in Rood - Perfect voor Sport,"Schoenen 13 gemaakt van Denim, ideaal voor Herfst en Sport gelegenheden."
8ce17f83,Schoenen 370,<p>Een hoogwaardige schoenen van Denim in Bruin kleur en maat 44.</p>,FashionBrand,Schoenen,"Bruin,Denim,44,Schoenen,Unisex,Herfst",TRUE,Color,Bruin,Size,44,eb712f3d0bd8,270,shopify,98,deny,manual,191.72,230.06,TRUE,TRUE,,Koop Schoenen 370 in Bruin - Perfect voor Werk,
314f872c,Accessoire 24,<p>Een hoogwaardige accessoire van Leder in Paars kleur en maat One Size.</p>,FashionBrand,Accessoire,"Paars,Leder,One Size,Accessoire,Unisex,Zomer",TRUE,Color,Paars,Size,One Size,b2d023af167b,686,shopify,202,deny,manual,246.72,271.39,TRUE,TRUE,,Koop Accessoire 24 in Paars - Perfect voor Casual,"Accessoire 24 gemaakt van Leder, ideaal voor Zomer en Casual gelegenheden."
aa5ed18d,Accessoire 403,<p>Een hoogwaardige accessoire van Denim in Blauw kleur en maat One Size.</p>,FashionBrand,Accessoire,"Blauw,Denim,One Size,Accessoire,Heren,Herfst",TRUE,Color,Blauw,Size,One Size,05194d68a348,1000,shopify,123,deny,manual,14.37,14.37,TRUE,TRUE,,Koop Accessoire 403 in Blauw - Perfect voor Formeel,"Accessoire 403 gemaakt van Denim, ideaal voor Herfst en Formeel gelegenheden."
3d4ffe7a,Shirt 47,<p>Een hoogwaardige shirt van Denim in Grijs kleur en maat L.</p>,FashionBrand,Shirt,"Grijs,Denim,L,Shirt,Unisex,Lente",TRUE,Color,Grijs,Size,L,8bdc7125ea8c,798,shopify,479,deny,manual,97.18,97.18,TRUE,TRUE,,Koop Shirt 47 in Grijs - Perfect voor Sport,"Shirt 47 gemaakt van Denim, ideaal voor Lente en Sport gelegenheden."
a6370f8c,Jas 35,<p>Een hoogwaardige jas van Linnen in Geel kleur en maat M.</p>,FashionBrand,Jas,"Geel,Linnen,M,Jas,Unisex,Winter",TRUE,Color,Geel,Size,M,27d50f5ca367,641,shopify,303,deny,manual,453.06,453.06,TRUE,TRUE,,Koop Jas 35 in Geel - Perfect voor Formeel,"Jas 35 gemaakt van Linnen, ideaal voor Winter en Formeel gelegenheden."
a75da8de,Accessoire 474,<p>Een hoogwaardige accessoire van Polyester in Beige kleur en maat One Size.</p>,FashionBrand,Accessoire,"Beige,Polyester,One Size,Accessoire,Unisex,Winter",TRUE,Color,Beige,Size,One Size,785e5b479e39,1170,shopify,231,deny,manual,494.53,494.53,TRUE,TRUE,,Koop Accessoire 474 in Beige - Perfect voor Werk,"Accessoire 474 gemaakt van Polyester, ideaal voor Winter en Werk gelegenheden."
8b1c9181,Jas 213,<p>Een hoogwaardige jas van Katoen in Paars kleur en maat M.</p>,FashionBrand,Jas,"Paars,Katoen,M,Jas,Heren,Herfst",TRUE,Color,Paars,Size,M,d882604f3323,1070,shopify,7,deny,manual,383.36,383.36,TRUE,TRUE,,Koop Jas 213 in Paars - Perfect voor Werk,"Jas 213 gemaakt van Katoen, ideaal voor Herfst en Werk gelegenheden."
6e40255a,Broek 83,<p>Een hoogwaardige broek van Katoen in Beige kleur en maat 30.</p>,FashionBrand,Broek,"Beige,Katoen,30,Broek,Unisex,Herfst",TRUE,Color,Beige,Size,30,c1a436fbf92c,668,shopify,353,deny,manual,382.15,382.15,TRUE,TRUE,,Koop Broek 83 in Beige - Perfect voor Werk,
11a73c51,Schoenen 403,<p>Een hoogwaardige schoenen van Polyester in Beige kleur en maat 38.</p>,FashionBrand,Schoenen,"Beige,Polyester,38,Schoenen,Unisex,Herfst",TRUE,Color,Beige,Size,38,b6b1e52b839a,741,shopify,415,deny,manual,350.58,350.58,TRUE,TRUE,,,"Schoenen 403 gemaakt van Polyester, ideaal voor Herfst en Werk gelegenheden."
6242aa4a,Accessoire 126,<p>Een hoogwaardige accessoire van Leder in Rood kleur en maat One Size.</p>,FashionBrand,Accessoire,"Rood,Leder,One Size,Accessoire,Heren,Zomer",TRUE,Color,Rood,Size,One Size,a859614c6aff,1196,shopify,315,deny,manual,315.71,315.71,TRUE,TRUE,,Koop Accessoire 126 in Rood - Perfect voor Werk,"Accessoire 126 gemaakt van Leder, ideaal voor Zomer en Werk gelegenheden."
43ea0620,Shirt 441,<p>Een hoogwaardige shirt van Leder in Blauw kleur en maat XXL.</p>,FashionBrand,Shirt,"Blauw,Leder,XXL,Shirt,Dames,Zomer",TRUE,Color,Blauw,Size,XXL,0f5a40414a47,401,shopify,495,deny,manual,460.99,460.99,TRUE,TRUE,,Koop Shirt 441 in Blauw - Perfect voor Sport,
1dcc101c,Schoenen 298,<p>Een hoogwaardige schoenen van Wol in Geel kleur en maat 41.</p>,FashionBrand,Schoenen,"Geel,Wol,41,Schoenen,Heren,Lente",TRUE,Color,Geel,Size,41,a65113e3d3d4,1074,shopify,492,deny,manual,383.46,421.81,TRUE,TRUE,,Koop Schoenen 298 in Geel - Perfect voor Werk,"Schoenen 298 gemaakt van Wol, ideaal voor Lente en Werk gelegenheden."
a92f58b3,Shirt 202,<p>Een hoogwaardige shirt van Katoen in Rood kleur en maat S.</p>,FashionBrand,Shirt,"Rood,Katoen,S,Shirt,Unisex,Zomer",TRUE,Color,Rood,Size,S,c23bd282dcc5,880,shopify,234,deny,manual,131.64,131.64,TRUE,TRUE,,Koop Shirt 202 in Rood - Perfect voor Formeel,"Shirt 202 gemaakt van Katoen, ideaal voor Zomer en Formeel gelegenheden."
